departement;cp;commune;nb_redevables;patrimoine_moyen;impot_moyen
VENDEE                        ;85191;LA ROCHE SUR YON                                  ;150;2533629;11295
LOIRE-ATLANTIQUE              ;44162;SAINT-HERBLAIN                                    ;81;2532502;8632
SARTHE                        ;72181;LE MANS                                           ;479;2524064;9866
HAUT-RHIN                     ;68066;COLMAR                                            ;246;2521980;9810
MARNE                         ;51454;REIMS                                             ;724;2521923;10733
VAL-DE-MARNE                  ;94033;FONTENAY SOUS BOIS                                ;540;2520057;10278
MEURTHE-ET-MOSELLE            ;54395;NANCY                                             ;606;2519608;11306
ESSONNE                       ;91223;ETAMPES                                           ;68;2518736;10002
ALPES-MARITIMES               ;6030;LE CANNET                                         ;345;2513862;10636
YVELINES                      ;78146;CHATOU                                            ;596;2512954;10596
TARN-ET-GARONNE               ;82121;MONTAUBAN                                         ;206;2510973;9935
LA REUNION                    ;97415;SAINT PAUL                                        ;250;2509241;9093
HAUTS-DE-SEINE                ;92049;MONTROUGE                                         ;361;2504843;11691
TERRITOIRE DE BELFORT         ;90010;BELFORT                                           ;94;2502222;9829
ISERE                         ;38053;BOURGOIN JALLIEU                                  ;73;2498308;12169
HAUTS-DE-SEINE                ;92063;RUEIL MALMAISON                                   ;1400;2495740;9797
HAUTS-DE-SEINE                ;92048;MEUDON                                            ;925;2494428;9614
YVELINES                      ;78158;LE CHESNAY                                        ;674;2494236;10743
VAUCLUSE                      ;84007;AVIGNON                                           ;319;2493932;10537
PYRENEES-ATLANTIQUES          ;64102;BAYONNE                                           ;222;2486813;10995
MANCHE                        ;50129;CHERBOURG OCTEVILLE                               ;91;2486758;9159
BOUCHES-DU-RHONE              ;13047;ISTRES                                            ;65;2485151;9472
VIENNE                        ;86194;POITIERS                                          ;276;2483390;10269
MOSELLE                       ;57480;MONTIGNY LES METZ                                 ;106;2482652;10970
GIRONDE                       ;33192;GRADIGNAN                                         ;126;2482344;11077
ALLIER                        ;3185;MONTLUCON                                         ;110;2481889;7478
HAUTS-DE-SEINE                ;92072;SEVRES                                            ;582;2478126;9122
PYRENEES-ORIENTALES           ;66136;PERPIGNAN                                         ;433;2476676;10142
CALVADOS                      ;14118;CAEN                                              ;557;2475255;9491
YVELINES                      ;78358;MAISONS-LAFFITTE                                  ;575;2474588;10354
LOIRE                         ;42187;ROANNE                                            ;85;2473837;10902
VAUCLUSE                      ;84031;CARPENTRAS                                        ;121;2473361;10120
RHONE                         ;69204;SAINT-GENIS-LAVAL                                 ;145;2469008;9956
HERAULT                       ;34301;SETE                                              ;209;2460459;10698
PYRENEES-ATLANTIQUES          ;64122;BIARRITZ                                          ;447;2459409;10349
LOIRE-ATLANTIQUE              ;44215;VERTOU                                            ;147;2456429;11650
ESSONNE                       ;91201;DRAVEIL                                           ;124;2455704;9588
BOUCHES-DU-RHONE              ;13004;ARLES                                             ;164;2455365;10595
SOMME                         ;80021;AMIENS                                            ;474;2453108;9676
SEINE-ET-MARNE                ;77288;MELUN                                             ;108;2451582;10956
ISERE                         ;38185;GRENOBLE                                          ;645;2446246;9970
VAL-D'OISE                    ;95018;ARGENTEUIL                                        ;126;2443887;9880
BOUCHES-DU-RHONE              ;13005;AUBAGNE                                           ;208;2441189;9239
HAUTS-DE-SEINE                ;92073;SURESNES                                          ;550;2438314;9860
YONNE                         ;89387;SENS                                              ;100;2433450;10094
LOIRE                         ;42218;SAINT ETIENNE                                     ;470;2433160;10254
ALPES-MARITIMES               ;6088;NICE                                              ;2728;2429913;10061
ALPES-MARITIMES               ;6155;VALLAURIS                                         ;286;2427557;10318
